No,オーダーID,オーダー日付,日付キー,都道府県,市,地域,郵便番号,連絡先,顧客名,顧客ID,プロダクト,ライセンス,売上,品数,ディスカウント,利益
51,九州-2019-115742,2019/04/18,20190418,鹿児島,鹿屋市,九州,8930004,Brian Dickens,パナソニック,1043,FinanceHub,N3660I16OB,75.18,6,0,35.3346
52,九州-2019-115742,2019/04/18,20190418,鹿児島,鹿屋市,九州,8930004,Brian Dickens,パナソニック,1043,SaaS Connector Pack,DU3DC8HDNW,6.16,2,0,2.9568
53,九州-2019-115742,2019/04/18,20190418,鹿児島,鹿屋市,九州,8930004,Brian Dickens,パナソニック,1043,FinanceHub,SCMV1FUA1Z,89.99,1,0,17.0981
54,関西-2020-105816,2020/12/12,20201212,大阪,大阪市,関西,5300003,Joseph Newman,高島屋,1059,Storage,5JTHBK78DZ,15.26,7,0,6.2566
55,関西-2020-105816,2020/12/12,20201212,大阪,大阪市,関西,5300003,Joseph Newman,高島屋,1059,Site Analytics,JPNWB3X2PG,1029.95,5,0,298.6855
56,関西-2020-111682,2020/06/18,20200618,大阪,和泉市,関西,5941153,Nicola Howard,セブン銀行,1006,Marketing Suite - Gold,RI8MDZ0Y3A,208.56,6,0,52.14
57,関西-2020-111682,2020/06/18,20200618,大阪,和泉市,関西,5941153,Nicola Howard,セブン銀行,1006,Support,TA8D5XDFPN,32.4,5,0,15.552
58,関西-2020-111682,2020/06/18,20200618,大阪,和泉市,関西,5941153,Nicola Howard,セブン銀行,1006,FinanceHub,9QD1V31VWF,319.41,5,0.1,7.098
59,関西-2020-111682,2020/06/18,20200618,大阪,和泉市,関西,5941153,Nicola Howard,セブン銀行,1006,Support,NKEOT3DP5L,14.56,2,0,6.9888
60,関西-2020-111682,2020/06/18,20200618,大阪,和泉市,関西,5941153,Nicola Howard,セブン銀行,1006,Data Smasher,I8M069JA80,30,2,0,3.3
61,関西-2020-111682,2020/06/18,20200618,大阪,和泉市,関西,5941153,Nicola Howard,セブン銀行,1006,ContactMatcher,3N1DY2AIMD,48.48,4,0.2,16.362
62,関西-2020-111682,2020/06/18,20200618,大阪,和泉市,関西,5941153,Nicola Howard,セブン銀行,1006,ChatBot Plugin,MBZM7LCSK4,1.68,1,0,0.84
63,関東-2019-135545,2019/11/24,20191124,東京,千代田区,関東,1000000,Stewart Wilson,三菱商事,1067,Data Smasher,LMJYGCZAFV,13.98,2,0,6.1512
64,関東-2019-135545,2019/11/24,20191124,東京,千代田区,関東,1000000,Stewart Wilson,三菱商事,1067,ContactMatcher,MVEQDJNPR2,25.824,6,0.2,9.3612
65,関東-2019-135545,2019/11/24,20191124,東京,千代田区,関東,1000000,Stewart Wilson,三菱商事,1067,Support,OLS0NNZ15B,146.73,3,0,68.9631
66,関東-2019-135545,2019/11/24,20191124,東京,千代田区,関東,1000000,Stewart Wilson,三菱商事,1067,SaaS Connector Pack,84GUTTZTC0,79.76,4,0,22.3328
67,九州-2019-164175,2019/04/30,20190430,長崎,長崎市,九州,8528126,Eric McLean,エクサウィザーズ,1001,FinanceHub,6QHQUNX985,213.115,5,0.3,-15.2225
68,関東-2018-106376,2018/12/05,20181205,埼玉,草加市,関東,3400002,Leah Clarkson,SMBC,1068,ChatBot Plugin,91D0JN8T6U,1113.024,8,0.2,111.3024
69,関東-2018-106376,2018/12/05,20181205,埼玉,草加市,関東,3400002,Leah Clarkson,SMBC,1068,Site Analytics,6NQZXRTE33,167.968,4,0.2,62.988
70,四国-2020-119823,2020/06/05,20200605,香川,高松市,四国,7600065,Alison Davidson,JAバンク,1035,Support,JH2K4261IC,75.88,2,0,35.6636
71,関西-2020-106075,2020/09/19,20200919,大阪,大阪市,関西,5300005,Sophie Vance,クリプラ,1002,ContactMatcher,5MAZAYKQ5U,4.616,1,0.2,1.731
72,関東-2021-114440,2021/09/15,20210915,茨城,つくば市,関東,3050062,Neil Gill,Intel,1051,Support,K4O1D2NXHZ,19.05,3,0,8.763
73,関西-2019-134026,2019/04/26,20190426,滋賀,近江八幡市,関西,5201331,Anne Lee,Oracle,1072,FinanceHub,NPQNQFYUUU,831.936,8,0.2,-114.3912
74,関西-2019-134026,2019/04/26,20190426,滋賀,近江八幡市,関西,5201331,Anne Lee,Oracle,1072,SaaS Connector Pack,D0Z9FZR0JL,97.04,2,0.2,1.213
75,関西-2019-134026,2019/04/26,20190426,滋賀,近江八幡市,関西,5201331,Anne Lee,Oracle,1072,Marketing Suite - Gold,X15ND79M8Q,72.784,1,0.2,-18.196
76,九州-2021-118038,2021/12/10,20211210,福岡,福岡市,九州,8150031,Maria Dyer,日本通運,1098,ContactMatcher,A4VC3VGTLE,1.248,3,0.8,-1.9344
77,九州-2021-118038,2021/12/10,20211210,福岡,福岡市,九州,8150031,Maria Dyer,日本通運,1098,SaaS Connector Pack,IR30G9I4WJ,9.708,3,0.6,-5.8248
78,九州-2021-118038,2021/12/10,20211210,福岡,福岡市,九州,8150031,Maria Dyer,日本通運,1098,Marketing Suite - Gold,PGTVTGM7XI,27.24,3,0.2,2.724
79,九州-2018-147606,2018/11/26,20181126,福岡,福岡市,九州,8150031,Anne Lee,Oracle,1072,SaaS Connector Pack,JQHP8C8VXP,19.3,5,0.6,-14.475
80,中国-2020-127208,2020/06/13,20200613,広島,広島市,中国,7390302,Julia Ellison,日本包材株式会社,1088,OneView,1I3JIURUQR,208.16,1,0,56.2032
81,中国-2020-127208,2020/06/13,20200613,広島,広島市,中国,7390302,Julia Ellison,日本包材株式会社,1088,ContactMatcher,0UHOHNAAAD,16.74,3,0,8.0352
82,関東-2018-139451,2018/10/12,20181012,東京,港区,関東,1055107,Gordon McLean,楽天グループ,1094,ChatBot Plugin,920M0N09EE,14.9,5,0,4.172
83,関東-2018-139451,2018/10/12,20181012,東京,港区,関東,1055107,Gordon McLean,楽天グループ,1094,Marketing Suite - Gold,9SVF10L0F3,21.39,1,0,6.2031
84,関西-2019-149734,2019/09/03,20190903,京都,向日市,関西,6170001,Jessica Buckland,伊藤忠,1032,SaaS Connector Pack - Gold,CFUHIDO1WY,200.984,7,0.2,62.8075
85,九州-2021-119662,2021/11/14,20211114,長崎,長崎市,九州,8528126,Bernadette Nolan,エクソル,1031,Marketing Suite - Gold,CUL2MB77E0,230.376,3,0.2,-48.9549
86,関東-2021-140088,2021/05/29,20210529,栃木,宇都宮市,関東,3291113,Katherine Dowd,SMBC,1068,FinanceHub,RBNGNEEYS9,301.96,2,0,33.2156
87,関西-2021-155558,2021/10/27,20211027,大阪,泉大津市,関西,5950053,Sonia Ince,ヤマト,1052,Data Smasher,W731G6G61K,19.99,1,0,6.7966
88,関西-2021-155558,2021/10/27,20211027,大阪,泉大津市,関西,5950053,Sonia Ince,ヤマト,1052,FinanceHub,A3HQUY156G,6.16,2,0,2.9568
89,九州-2020-159695,2020/04/06,20200406,福岡,福岡市,九州,8150031,William Lewis,JAバンク,1035,Marketing Suite - Gold,45JXXNYX5W,158.368,7,0.2,13.8572
90,関東-2020-109806,2020/09/18,20200918,東京,千代田区,関東,1006066,Melanie Young,ヤマト,1052,ChatBot Plugin,AX50KL6AG9,20.1,3,0,6.633
91,関東-2020-109806,2020/09/18,20200918,東京,千代田区,関東,1006066,Melanie Young,ヤマト,1052,Site Analytics,S4CEY2GSVW,73.584,2,0.2,8.2782
92,関東-2020-109806,2020/09/18,20200918,東京,千代田区,関東,1006066,Melanie Young,ヤマト,1052,Support,V86OBN8J1U,6.48,1,0,3.1104
93,中部-2019-149587,2019/01/31,20190131,静岡,静岡市,中部,4200948,Edward Oliver,SMBC,1068,Support,XJEFE2O3YF,12.96,2,0,6.2208
94,中部-2019-149587,2019/01/31,20190131,静岡,静岡市,中部,4200948,Edward Oliver,SMBC,1068,SaaS Connector Pack,5XEHT10HDW,53.34,3,0,16.5354
95,中部-2019-149587,2019/01/31,20190131,静岡,静岡市,中部,4200948,Edward Oliver,SMBC,1068,ContactMatcher,U40N63E6AK,32.96,2,0,16.1504
96,中国-2021-109484,2021/11/07,20211107,岡山,岡山市,中国,7038288,Peter Quinn,エディオン,1095,ContactMatcher,VK1TWXDWUR,5.682,1,0.7,-3.788
97,関西-2021-161018,2021/11/10,20211110,大阪,大阪市,関西,5300003,Max Marshall,日立製作所,1014,SaaS Connector Pack,UFEXZDF5TK,96.53,7,0,40.5426
98,関東-2021-157833,2021/06/18,20210618,東京,港区,関東,1055123,Jan Watson,Valero Energy,1093,ContactMatcher,GJFN2RJA9U,51.312,3,0.2,17.9592
99,中部-2020-149223,2020/09/07,20200907,静岡,静岡市,中部,4200948,Carol Ball,Nestle,1089,OneView,PFLFDN3SOU,77.88,6,0,22.5852
100,九州-2020-158568,2020/08/30,20200830,長崎,長崎市,九州,8528126,Gavin Walsh,ダイキン,1075,Support,2CWM52X1X9,64.624,7,0.2,22.6184
101,九州-2020-158568,2020/08/30,20200830,長崎,長崎市,九州,8528126,Gavin Walsh,ダイキン,1075,Data Smasher,LW1M6UDC4B,95.976,3,0.2,-10.7973
102,九州-2020-158568,2020/08/30,20200830,長崎,長崎市,九州,8528126,Gavin Walsh,ダイキン,1075,ContactMatcher,WCITXGLF0J,1.788,3,0.8,-3.0396
103,関西-2020-129903,2020/12/02,20201202,大阪,高槻市,関西,5690082,Penelope Peake,十八親和銀行,1100,Support,45EAEXTILE,23.92,4,0,11.7208
104,関西-2019-156867,2019/11/13,20191113,奈良,奈良市,関西,6310841,Amy Scott,ローソン,1096,Data Smasher,EV59Z98WXW,238.896,6,0.2,-26.8758
105,関西-2019-156867,2019/11/13,20191113,奈良,奈良市,関西,6310841,Amy Scott,ローソン,1096,SaaS Connector Pack,YR7I08I1K4,102.36,3,0.2,-3.8385
106,関西-2019-156867,2019/11/13,20191113,奈良,奈良市,関西,6310841,Amy Scott,ローソン,1096,ContactMatcher,W01T1PXXK7,36.882,3,0.7,-25.8174
107,関西-2021-119004,2021/11/24,20211124,京都,京都市,関西,5200461,Carl Jackson,Cisco Systems,1019,Data Smasher,6D89G3BGGH,74.112,8,0.2,17.6016
108,関西-2021-119004,2021/11/24,20211124,京都,京都市,関西,5200461,Carl Jackson,Cisco Systems,1019,Site Analytics,ECNQ9AS54S,27.992,1,0.2,2.0994
109,関西-2021-119004,2021/11/24,20211124,京都,京都市,関西,5200461,Carl Jackson,Cisco Systems,1019,ChatBot Plugin,D0H5JTRD3R,3.304,1,0.2,1.0738
110,九州-2019-129476,2019/10/15,20191015,長崎,対馬市,九州,8170034,Joe Wallace,日本通運,1098,Data Smasher,OG63K8FFP9,339.96,5,0.2,67.992
111,関西-2021-146780,2021/12/26,20211226,大阪,大阪市,関西,5570001,Luke Mills,SMBC銀行,1078,SaaS Connector Pack,E5KT4VQ59T,41.96,2,0,10.9096
112,中国-2020-128867,2020/11/04,20201104,広島,広島市,中国,7320035,Alexandra Dyer,ローソン,1096,ChatBot Plugin,FDKOX22CWX,75.96,2,0,22.788
113,中国-2020-128867,2020/11/04,20201104,広島,広島市,中国,7320035,Alexandra Dyer,ローソン,1096,ContactMatcher,OAF6MA4XZ7,27.24,6,0,13.3476
114,関東-2018-115259,2018/08/25,20180825,千葉,千葉市,関東,2600023,Rebecca Dickens,Amazon,1004,Storage,1DRXSUGWY6,40.096,14,0.2,14.5348
115,関東-2018-115259,2018/08/25,20180825,千葉,千葉市,関東,2600023,Rebecca Dickens,Amazon,1004,SaaS Connector Pack - Gold,U9IXLQYDG8,4.72,2,0.2,1.652
116,関東-2018-115259,2018/08/25,20180825,千葉,千葉市,関東,2600023,Rebecca Dickens,Amazon,1004,Support,NGH6JD32CX,23.976,3,0.2,7.4925
117,関東-2018-115259,2018/08/25,20180825,千葉,千葉市,関東,2600023,Rebecca Dickens,Amazon,1004,SaaS Connector Pack - Gold,QHG92H9NGL,130.464,6,0.2,44.0316
118,関東-2019-110457,2019/03/02,20190302,神奈川,横浜市,関東,2200044,Audrey Hardacre,十八親和銀行,1100,ContactMatcher,EHVU0FM6IP,787.53,3,0,165.3813
119,関西-2019-136476,2019/04/05,20190405,滋賀,近江八幡市,関西,5201331,Jennifer Dowd,出光興産,1027,ContactMatcher,VKTELEXOAJ,157.794,1,0.7,-115.7156
120,関西-2020-103730,2020/06/13,20200613,京都,京都市,関西,5200465,Natalie Sanderson,クリプラ,1002,SaaS Connector Pack,YWZAV09L95,47.04,3,0,18.3456
121,関西-2020-103730,2020/06/13,20200613,京都,京都市,関西,5200465,Natalie Sanderson,クリプラ,1002,ContactMatcher,6HDH2X5C4Q,30.84,4,0,13.878
122,関西-2020-103730,2020/06/13,20200613,京都,京都市,関西,5200465,Natalie Sanderson,クリプラ,1002,Marketing Suite - Gold,UFK94J59ZU,226.56,6,0,63.4368
123,関西-2020-103730,2020/06/13,20200613,京都,京都市,関西,5200465,Natalie Sanderson,クリプラ,1002,SaaS Connector Pack - Gold,ESTJDHFQQJ,115.02,9,0,51.759
124,関西-2020-103730,2020/06/13,20200613,京都,京都市,関西,5200465,Natalie Sanderson,クリプラ,1002,Site Analytics,10H4K5XYCK,68.04,7,0,19.7316
125,九州-2018-152030,2018/12/26,20181226,福岡,福岡市,九州,8150031,Samantha Rampling,日立物流,1036,FinanceHub,CL5Z5BO4AX,600.558,3,0.3,-8.5794
126,九州-2018-134614,2018/09/20,20180920,長崎,壱岐市,九州,8115461,Sally Berry,高島屋,1059,ContactMatcher,NR9RLNIDDN,617.7,6,0.5,-407.682
127,関東-2021-107272,2021/11/06,20211106,埼玉,さいたま市,関東,1748741,Anthony Clark,富士フィルム,1045,ContactMatcher,VQ46SD57ZS,2.388,2,0.7,-1.8308
128,関東-2021-107272,2021/11/06,20211106,埼玉,さいたま市,関東,1748741,Anthony Clark,富士フィルム,1045,Marketing Suite - Gold,D0E36MWJEW,243.992,7,0.2,30.499
129,関東-2020-125969,2020/11/07,20201107,東京,千代田区,関東,1006811,Victor Short,SMBC銀行,1078,FinanceHub,JJPL720VAS,81.424,2,0.2,-9.1602
130,関東-2020-125969,2020/11/07,20201107,東京,千代田区,関東,1006811,Victor Short,SMBC銀行,1078,SaaS Connector Pack,8YKVWCUJ4E,238.56,3,0,26.2416
131,関東-2021-164147,2021/02/03,20210203,千葉,千葉市,関東,2600013,Austin Newman,ローソン銀行,1101,Site Analytics,6JGGI7ZZ6I,59.97,5,0.4,-11.994
132,関東-2021-164147,2021/02/03,20210203,千葉,千葉市,関東,2600013,Austin Newman,ローソン銀行,1101,Support,EDMREQV8TS,78.304,2,0.2,29.364
133,関東-2021-164147,2021/02/03,20210203,千葉,千葉市,関東,2600013,Austin Newman,ローソン銀行,1101,Storage,7WHCO2BFB0,21.456,9,0.2,6.9732
134,関東-2020-145583,2020/10/14,20201014,東京,豊島区,関東,1706007,Rose Scott,セブン＆アイ・ホールディングス,1026,Support,PWIULJAE51,20.04,3,0,9.6192
135,関東-2020-145583,2020/10/14,20201014,東京,豊島区,関東,1706007,Rose Scott,セブン＆アイ・ホールディングス,1026,Support,QBAIA88519,35.44,1,0,16.6568
136,関東-2020-145583,2020/10/14,20201014,東京,豊島区,関東,1706007,Rose Scott,セブン＆アイ・ホールディングス,1026,ChatBot Plugin,QIH1351ZN7,11.52,4,0,3.456
137,関東-2020-145583,2020/10/14,20201014,東京,豊島区,関東,1706007,Rose Scott,セブン＆アイ・ホールディングス,1026,Storage,FLGFDQI1YW,4.02,2,0,1.9698
138,関東-2020-145583,2020/10/14,20201014,東京,豊島区,関東,1706007,Rose Scott,セブン＆アイ・ホールディングス,1026,ContactMatcher,QVAV46CVJD,76.176,3,0.2,26.6616
139,関東-2020-145583,2020/10/14,20201014,東京,豊島区,関東,1706007,Rose Scott,セブン＆アイ・ホールディングス,1026,Support,2MI0QUU74R,65.88,6,0,18.4464
140,関東-2020-145583,2020/10/14,20201014,東京,豊島区,関東,1706007,Rose Scott,セブン＆アイ・ホールディングス,1026,SaaS Connector Pack,6LLWK12W7K,43.12,14,0,20.6976
141,中部-2020-110366,2020/09/06,20200906,愛知,名古屋市,中部,4620832,Tim Morrison,ブリヂストン,1041,SaaS Connector Pack,V01FLYWRJH,82.8,2,0.2,10.35
142,関東-2021-106180,2021/09/19,20210919,東京,港区,関東,1055113,Harry Murray,東京スター銀行,1082,ChatBot Plugin,CDKV85SBFW,8.82,3,0,2.3814
143,関東-2021-106180,2021/09/19,20210919,東京,港区,関東,1055113,Harry Murray,東京スター銀行,1082,SaaS Connector Pack - Gold,9DJHDYHRR3,10.86,3,0,5.1042
144,関東-2021-106180,2021/09/19,20210919,東京,港区,関東,1055113,Harry Murray,東京スター銀行,1082,Support,ZSB20RNZ0A,143.7,3,0,68.976
145,関西-2021-155376,2021/12/23,20211223,京都,京都市,関西,6050035,Dylan Dowd,KDDI,1022,OneView,67FK6GLSC1,839.43,3,0,218.2518
146,関東-2019-110744,2019/09/07,20190907,東京,小金井市,関東,1840013,Angela Parsons,ウェルモ,1007,Marketing Suite - Gold,G4R1FFNPGO,671.93,7,0,20.1579
147,関東-2018-110072,2018/10/22,20181022,千葉,市原市,関東,2900025,Lisa Oliver,トヨタ,1087,SaaS Connector Pack,BHODKJ9L3G,93.888,4,0.2,12.9096
148,関西-2020-114489,2020/12/06,20201206,三重,伊賀市,関西,5180226,Joseph Duncan,ローソン,1096,Site Analytics,NKEP466WY8,384.45,11,0,103.8015
149,関西-2020-114489,2020/12/06,20201206,三重,伊賀市,関西,5180226,Joseph Duncan,ローソン,1096,Site Analytics,KAMRWAU3DC,149.97,3,0,5.9988
150,関西-2020-114489,2020/12/06,20201206,三重,伊賀市,関西,5180226,Joseph Duncan,ローソン,1096,FinanceHub,DA45FHG7IC,1951.84,8,0,585.552
151,関西-2020-114489,2020/12/06,20201206,三重,伊賀市,関西,5180226,Joseph Duncan,ローソン,1096,ContactMatcher,1E78QQ5K6O,171.55,5,0,80.6285
152,関東-2020-158834,2020/03/14,20200314,埼玉,草加市,関東,3400002,Paul MacDonald,ユーグレナ,1055,OneView,J54ZE9BY16,157.92,5,0.2,17.766
153,関東-2020-158834,2020/03/14,20200314,埼玉,草加市,関東,3400002,Paul MacDonald,ユーグレナ,1055,Site Analytics,0FXOEDG6KC,203.184,2,0.2,15.2388
154,関東-2019-124919,2019/05/31,20190531,東京,中央区,関東,1030013,Gordon Graham,Engie,1062,Support,S92H6S89SR,58.38,7,0,26.271
155,関東-2019-124919,2019/05/31,20190531,東京,中央区,関東,1030013,Gordon Graham,Engie,1062,Support,VDD4JQGM6P,105.52,4,0,48.5392
156,関東-2019-124919,2019/05/31,20190531,東京,中央区,関東,1030013,Gordon Graham,Engie,1062,Marketing Suite - Gold,O0V9LVLHM9,80.88,6,0,21.0288
157,関東-2019-118948,2019/05/28,20190528,神奈川,横浜市,関東,2200046,Sean Bower,野村総合研究所,1033,ChatBot Plugin,DTGE25IIR8,6.63,3,0,1.7901
